Time (mins),Lactate_rep1,Aspartic Acid_rep1,Threonine_rep1,Serine_rep1,Glutamine_rep1,Proline_rep1,Glycine_rep1,Alanine_rep1,Valine_rep1,Methionine_rep1,Isoleucine_rep1,Leucine_rep1,Tyrosine_rep1,Phenylalanine_rep1,Ornithine_rep1,Lysine_rep1,Histidine_rep1,Tryptophan_rep1,Arginine_rep1,Glucose_rep1,Cysteine_rep1,Lactate_rep2,Aspartic Acid_rep2,Threonine_rep2,Serine_rep2,Glutamine_rep2,Proline_rep2,Glycine_rep2,Alanine_rep2,Valine_rep2,Methionine_rep2,Isoleucine_rep2,Leucine_rep2,Tyrosine_rep2,Phenylalanine_rep2,Ornithine_rep2,Lysine_rep2,Histidine_rep2,Tryptophan_rep2,Arginine_rep2,Glucose_rep2,Cysteine_rep2,Lactate_rep3,Aspartic Acid_rep3,Threonine_rep3,Serine_rep3,Glutamine_rep3,Proline_rep3,Glycine_rep3,Alanine_rep3,Valine_rep3,Methionine_rep3,Isoleucine_rep3,Leucine_rep3,Tyrosine_rep3,Phenylalanine_rep3,Ornithine_rep3,Lysine_rep3,Histidine_rep3,Tryptophan_rep3,Arginine_rep3,Glucose_rep3,Cysteine_rep3
0,0.080200002,0.071999997,0.0748,0.077699997,0.325700015,0.0814,0.107000001,0.093999997,0.085299999,0.093000002,0.099600002,0.102200001,0.134100005,0.1052,0.099100001,0.171399996,0.098099999,0.203199998,0.187000006,0.143000007,0.138500005,0.081600003,0.0748,0.074699998,0.073600002,0.070900001,0.079800002,0.084899999,0.0836,0.080799997,0.086999997,0.100500003,0.097000003,0.131200001,0.090899996,0.0955,0.158099994,0.102399997,0.154499993,0.144600004,0.0999,0.116400003,0.074299999,0.070299998,0.086400002,0.080300003,0.063699998,0.066100001,0.0867,0.071900003,0.074900001,0.074100003,0.078900002,0.084100001,0.105499998,0.076899998,0.0836,0.122000001,0.0823,0.157000005,0.125699997,0.101400003,0.097199999
5.333333333,0.079400003,0.069399998,0.070900001,0.078599997,0.363400012,0.087899998,0.114500001,0.102700002,0.095799997,0.096799999,0.1052,0.102600001,0.141100004,0.106299996,0.104900002,0.175999999,0.098899998,0.197999999,0.193200007,0.1417,0.129700005,0.080700003,0.080200002,0.0726,0.081500001,0.078599997,0.0876,0.093000002,0.089000002,0.0836,0.095899999,0.101300001,0.096699998,0.129500002,0.089900002,0.090999998,0.150099993,0.100100003,0.156100005,0.137799993,0.102300003,0.1149,0.071099997,0.0682,0.075000003,0.0801,0.070699997,0.068099998,0.081799999,0.071800001,0.079300001,0.073700003,0.083400004,0.080200002,0.100599997,0.080200002,0.0814,0.122199997,0.085699998,0.160699993,0.130899996,0.098800004,0.100599997
10.66666667,0.0792,0.0704,0.067299999,0.079000004,0.36649999,0.087099999,0.104900002,0.101499997,0.096900001,0.096900001,0.105899997,0.103799999,0.143700004,0.101999998,0.106700003,0.176499993,0.099399999,0.194000006,0.192100003,0.142800003,0.127100006,0.0836,0.088299997,0.072899997,0.083499998,0.080499999,0.091200002,0.102700002,0.094899997,0.090899996,0.101899996,0.103699997,0.099299997,0.135800004,0.097900003,0.094999999,0.160099998,0.1061,0.1655,0.146599993,0.112000003,0.125400007,0.071000002,0.069399998,0.073100001,0.078299999,0.074000001,0.068400003,0.0748,0.075300001,0.077100001,0.074900001,0.082699999,0.079999998,0.101099998,0.0792,0.080700003,0.124899998,0.087300003,0.158999994,0.134100005,0.100400001,0.100299999
16.00166667,0.080399998,0.073200002,0.066600002,0.082900003,0.372599989,0.090099998,0.112099998,0.106899999,0.099200003,0.098099999,0.107199997,0.106600001,0.1514,0.111199997,0.106200002,0.177200004,0.103600003,0.196700007,0.194299996,0.149000004,0.130799994,0.082000002,0.086599998,0.072099999,0.087099999,0.078900002,0.091700003,0.1008,0.096100003,0.095899999,0.103299998,0.1052,0.0995,0.138899997,0.0973,0.0933,0.157299995,0.106700003,0.163100004,0.145300001,0.108800001,0.127700001,0.071099997,0.071599998,0.072999999,0.081200004,0.072499998,0.071599998,0.076200001,0.075900003,0.074699998,0.078199998,0.082900003,0.078400001,0.102300003,0.081600003,0.0814,0.127000004,0.087700002,0.161200002,0.134200007,0.102600001,0.100900002
21.335,0.081600003,0.076399997,0.07,0.082199998,0.358799994,0.086499996,0.106600001,0.1021,0.095799997,0.092900001,0.100500003,0.103799999,0.150000006,0.103399999,0.098099999,0.169499993,0.098399997,0.1875,0.184,0.137899995,0.1241,0.082800001,0.0858,0.071699999,0.087099999,0.080499999,0.091899998,0.099299997,0.097099997,0.103100002,0.100599997,0.1065,0.0999,0.1426,0.102200001,0.095799997,0.159199998,0.106299996,0.162400007,0.146400005,0.110399999,0.126900002,0.071699999,0.071999997,0.083999999,0.078299999,0.074199997,0.0735,0.077100001,0.077600002,0.0735,0.075599998,0.0788,0.0757,0.104099996,0.076700002,0.077200003,0.124399997,0.085600004,0.158600003,0.132200003,0.097900003,0.098099999
26.66833333,0.0814,0.074699998,0.075099997,0.081500001,0.377400011,0.084399998,0.108499996,0.102899998,0.095899999,0.095299996,0.103200004,0.102399997,0.152099997,0.102200001,0.098499998,0.170000002,0.098099999,0.187999994,0.183899999,0.140000001,0.123499997,0.081500001,0.089900002,0.075000003,0.090999998,0.081500001,0.092299998,0.097099997,0.098700002,0.107299998,0.101199999,0.103100002,0.0999,0.143399999,0.100500003,0.094400004,0.158000007,0.103299998,0.159899995,0.142100006,0.109300002,0.120800003,0.070799999,0.068400003,0.085600004,0.077799998,0.075199999,0.071500003,0.077699997,0.078100003,0.073899999,0.074699998,0.080200002,0.074299999,0.104699999,0.074699998,0.080700003,0.125699997,0.083800003,0.158299997,0.130899996,0.097900003,0.095200002
32.00333333,0.086499996,0.076200001,0.079300001,0.085699998,0.383899987,0.086999997,0.1096,0.106399998,0.097199999,0.095200002,0.105800003,0.102700002,0.150199994,0.105700001,0.104599997,0.175799996,0.103100002,0.191200003,0.187399998,0.1435,0.130899996,0.087800004,0.089599997,0.076300003,0.089500003,0.082900003,0.089900002,0.0995,0.098800004,0.106200002,0.100500003,0.101499997,0.095100001,0.147699997,0.0999,0.095399998,0.1602,0.102799997,0.159299999,0.146799996,0.113399997,0.127399996,0.071400002,0.070600003,0.089699998,0.078900002,0.073200002,0.072099999,0.074199997,0.076200001,0.073700003,0.0757,0.079599999,0.077500001,0.105599999,0.077,0.083999999,0.129700005,0.084399998,0.159600005,0.132499993,0.101400003,0.0964
37.33666667,0.0823,0.075800002,0.074000001,0.087800004,0.374300003,0.085900001,0.104400001,0.107699998,0.0986,0.093800001,0.107600003,0.103299998,0.143999994,0.101599999,0.107799999,0.174600005,0.100699998,0.189300001,0.187700003,0.139300004,0.131999999,0.086400002,0.090400003,0.075999998,0.086400002,0.083899997,0.090800002,0.100100003,0.095899999,0.106200002,0.100000001,0.107600003,0.096600004,0.149800003,0.098700002,0.098300003,0.160500005,0.102499999,0.160899997,0.147599995,0.112400003,0.125400007,0.070900001,0.071999997,0.080700003,0.076499999,0.071800001,0.072499998,0.071599998,0.074500002,0.075400002,0.074100003,0.078299999,0.077699997,0.107000001,0.077299997,0.084600002,0.128800005,0.083300002,0.158999994,0.134499997,0.099299997,0.094400004
42.67,0.083499998,0.078000002,0.075099997,0.088200003,0.38409999,0.086499996,0.103399999,0.101999998,0.095200002,0.092200004,0.109800003,0.1021,0.140200004,0.100000001,0.105499998,0.169499993,0.096699998,0.188999996,0.183899999,0.137999997,0.135600001,0.084700003,0.091200002,0.076499999,0.0876,0.084100001,0.089000002,0.099799998,0.096799999,0.103200004,0.0986,0.101800002,0.096699998,0.149700001,0.0995,0.095700003,0.159299999,0.103399999,0.162400007,0.145099998,0.113499999,0.1259,0.070100002,0.072999999,0.087899998,0.076700002,0.075000003,0.074100003,0.072700001,0.073799998,0.0766,0.074000001,0.082099997,0.078699999,0.107799999,0.0766,0.083400004,0.127800003,0.082900003,0.159299999,0.131899998,0.0973,0.094999999
48.00333333,0.083899997,0.073100001,0.075199999,0.087399997,0.685899973,0.087300003,0.105499998,0.104500003,0.095299996,0.0964,0.110100001,0.105400003,0.138500005,0.1039,0.106399998,0.177200004,0.099699996,0.189500004,0.188999996,0.143399999,0.123899996,0.086099997,0.089299999,0.079400003,0.088,0.0836,0.0911,0.098200001,0.0955,0.103200004,0.097800002,0.101000004,0.094800003,0.150399998,0.096500002,0.092600003,0.158999994,0.102600001,0.159099996,0.145099998,0.113399997,0.1259,0.070600003,0.0726,0.081900001,0.075999998,0.073700003,0.071999997,0.0726,0.071999997,0.073899999,0.074500002,0.079999998,0.079800002,0.108599998,0.0788,0.083300002,0.130600005,0.0836,0.158299997,0.135399997,0.0964,0.095700003
